id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style
11,Environment,climate,carbon emissions,Which detail is supported by the context for carbon emissions?,The source says that carbon emissions is linked to warning sign number 12. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.","The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
12,Legal,privacy,data retention benchmark,"According to the provided context, what is the key point about data retention benchmark?",The source says that data retention benchmark is linked to guideline number 11. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention benchmark is linked to guideline number 11, and the passage also mentions a estimated cost.","The key point is that data retention benchmark is linked to guideline number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
13,History,leader,mauryan empire,Which detail is supported by the context for mauryan empire?,The evidence shows that mauryan empire is linked to threshold number 2. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to threshold number 2, and the passage also mentions a best practice.","The key point is that mauryan empire is linked to threshold number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article
14,Science,astronomy,exoplanets policy,"According to the provided context, what is the key point about exoplanets policy?",The context indicates that exoplanets policy is linked to procedure number 10. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets policy is linked to procedure number 10, and the passage also mentions a verification step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
15,Education,study plan,final revision,Summarize the main fact about final revision from the passage.,The evidence shows that final revision is linked to deadline number 1. A time window is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to deadline number 1, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that final revision is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
16,History,culture,trade routes policy,Summarize the main fact about trade routes policy from the passage.,The evidence shows that trade routes policy is linked to threshold number 9. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes policy is linked to threshold number 9, and the passage also mentions a weekly review.","The key point is that trade routes policy is linked to threshold number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
17,Finance,credit,credit score guidance,Summarize the main fact about credit score guidance from the passage.,The source says that credit score guidance is linked to deadline number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score guidance is linked to deadline number 8, and the passage also mentions a time window.","The key point is that credit score guidance is linked to deadline number 8, and the passage also mentions a time window.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
18,Science,chemistry,reaction rate,What is the correct answer regarding reaction rate?,The passage states that reaction rate is linked to increase number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to increase number 10, and the passage also mentions a weekly review.",The key point is that reaction rate is linked to increase number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
19,History,movement,civil rights workflow,Summarize the main fact about civil rights workflow from the passage.,The passage states that civil rights workflow is linked to causal factor number 16. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights workflow is linked to causal factor number 16, and the passage also mentions a weekly review.","The key point is that civil rights workflow is linked to causal factor number 16, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
20,Education,study plan,final revision,What does the document say about final revision?,The source says that final revision is linked to warning sign number 9. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to warning sign number 9, and the passage also mentions a priority order.","The key point is that final revision is linked to warning sign number 9, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
21,Travel,safety,emergency contacts overview,What is the correct answer regarding emergency contacts overview?,The context indicates that emergency contacts overview is linked to causal factor number 8. A required step is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts overview is linked to causal factor number 8, and the passage also mentions a required step.","The key point is that emergency contacts overview is linked to causal factor number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
22,Technology,networking,latency,What is the correct answer regarding latency?,The passage states that latency is linked to increase number 5. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to increase number 5, and the passage also mentions a best practice.","The key point is that latency is not linked to increase number 5; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
23,Food,meal planning,portion control benchmark,"According to the provided context, what is the key point about portion control benchmark?",The context indicates that portion control benchmark is linked to comparison number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control benchmark is linked to comparison number 17, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that portion control benchmark is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
24,Travel,transport,rail schedules,Which detail is supported by the context for rail schedules?,The passage states that rail schedules is linked to causal factor number 9. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to causal factor number 9, and the passage also mentions a best practice.","The key point is that rail schedules is linked to causal factor number 9, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
25,Education,course selection,statistics guidance,What is the correct answer regarding statistics guidance?,The source says that statistics guidance is linked to comparison number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics guidance is linked to comparison number 2, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that statistics guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
26,Legal,contract clause,termination overview,What does the document say about termination overview?,The context indicates that termination overview is linked to threshold number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination overview is linked to threshold number 2, and the passage also mentions a exception clause.","The key point is that termination overview is linked to threshold number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
27,Environment,air quality,particulate matter workflow,Summarize the main fact about particulate matter workflow from the passage.,The source says that particulate matter workflow is linked to recommended action number 16. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter workflow is linked to recommended action number 16, and the passage also mentions a weekly review.","The key point is that particulate matter workflow is linked to recommended action number 16, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
28,Environment,waste,recycling guidance,Summarize the main fact about recycling guidance from the passage.,The evidence shows that recycling guidance is linked to deadline number 4. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling guidance is linked to deadline number 4, and the passage also mentions a estimated cost.","The key point is that recycling guidance is linked to deadline number 4, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
29,Business,operations,inventory turnover,Summarize the main fact about inventory turnover from the passage.,The evidence shows that inventory turnover is linked to causal factor number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover is linked to causal factor number 10, and the passage also mentions a time window.","The key point is that inventory turnover is not linked to causal factor number 10; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
30,Science,astronomy,exoplanets,Summarize the main fact about exoplanets from the passage.,The passage states that exoplanets is linked to warning sign number 1. A required step is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets is linked to warning sign number 1, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
31,Education,learning strategy,note taking workflow,What is the correct answer regarding note taking workflow?,The evidence shows that note taking workflow is linked to warning sign number 14. A time window is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking workflow is linked to warning sign number 14, and the passage also mentions a time window.",The key point is that note taking workflow is linked to warning sign number 14.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article
32,Education,exam prep,linear algebra workflow,What is the correct answer regarding linear algebra workflow?,The evidence shows that linear algebra workflow is linked to decrease number 6. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra workflow is linked to decrease number 6, and the passage also mentions a verification step.","The key point is that linear algebra workflow is linked to decrease number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
33,Business,strategy,market positioning,What is the correct answer regarding market positioning?,The document explains that market positioning is linked to procedure number 10. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to procedure number 10, and the passage also mentions a best practice.","Since market positioning mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
34,Finance,tax,capital gains,"According to the provided context, what is the key point about capital gains?",The context indicates that capital gains is linked to comparison number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to comparison number 2, and the passage also mentions a exception clause.","Since capital gains mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
35,Food,diet,fiber workflow,"According to the provided context, what is the key point about fiber workflow?",The passage states that fiber workflow is linked to procedure number 14. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber workflow is linked to procedure number 14, and the passage also mentions a risk factor.","The key point is that fiber workflow is linked to procedure number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
36,Food,food safety,storage temperature,"According to the provided context, what is the key point about storage temperature?",The evidence shows that storage temperature is linked to threshold number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature is linked to threshold number 12, and the passage also mentions a best practice.","The key point is that storage temperature is linked to threshold number 12, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
37,Environment,wildlife,habitat loss overview,Which detail is supported by the context for habitat loss overview?,The document explains that habitat loss overview is linked to recommended action number 10. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss overview is linked to recommended action number 10, and the passage also mentions a priority order.","The key point is that habitat loss overview is not linked to recommended action number 10; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
38,Travel,booking,cancellation policy,What does the document say about cancellation policy?,The document explains that cancellation policy is linked to threshold number 13. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to threshold number 13, and the passage also mentions a priority order.","The key point is that cancellation policy is not linked to threshold number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt
39,History,conflict,world war II policy,Summarize the main fact about world war II policy from the passage.,The context indicates that world war II policy is linked to causal factor number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II policy is linked to causal factor number 15, and the passage also mentions a risk factor.","The key point is that world war II policy is linked to causal factor number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
40,Technology,machine learning,overfitting,Which detail is supported by the context for overfitting?,The source says that overfitting is linked to deadline number 4. A required step is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to deadline number 4, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
41,Science,environmental science,water quality overview,"According to the provided context, what is the key point about water quality overview?",The evidence shows that water quality overview is linked to deadline number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the environmental science use case.,"The key point is that water quality overview is linked to deadline number 10, and the passage also mentions a weekly review.","The key point is that water quality overview is linked to deadline number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
42,Education,study plan,final revision policy,Which detail is supported by the context for final revision policy?,The source says that final revision policy is linked to threshold number 1. A required step is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision policy is linked to threshold number 1, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
43,Environment,climate,carbon emissions,"According to the provided context, what is the key point about carbon emissions?",The document explains that carbon emissions is linked to comparison number 8. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to comparison number 8, and the passage also mentions a exception clause.","Since carbon emissions mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
44,Science,physics,force and motion,"According to the provided context, what is the key point about force and motion?",The document explains that force and motion is linked to threshold number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion is linked to threshold number 1, and the passage also mentions a estimated cost.",The key point is that force and motion is linked to threshold number 1.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
45,Environment,waste,recycling overview,Summarize the main fact about recycling overview from the passage.,The document explains that recycling overview is linked to increase number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling overview is linked to increase number 15, and the passage also mentions a required step.","The key point is that recycling overview is linked to increase number 15, and the passage also mentions a required step.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
46,Education,assignment,research methods benchmark,Which detail is supported by the context for research methods benchmark?,The source says that research methods benchmark is linked to decrease number 3. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods benchmark is linked to decrease number 3, and the passage also mentions a estimated cost.","The key point is that research methods benchmark is linked to decrease number 3, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
47,Technology,cloud,auto scaling guidance,Summarize the main fact about auto scaling guidance from the passage.,The context indicates that auto scaling guidance is linked to decrease number 13. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling guidance is linked to decrease number 13, and the passage also mentions a follow-up action.",The key point is that auto scaling guidance is linked to decrease number 13.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
48,Education,exam prep,linear algebra,Which detail is supported by the context for linear algebra?,The evidence shows that linear algebra is linked to threshold number 6. A required step is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to threshold number 6, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that linear algebra is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
49,Finance,tax,capital gains,"According to the provided context, what is the key point about capital gains?",The document explains that capital gains is linked to causal factor number 3. A time window is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to causal factor number 3, and the passage also mentions a time window.","The key point is that capital gains is linked to causal factor number 3, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
50,Science,astronomy,exoplanets overview,What is the correct answer regarding exoplanets overview?,The passage states that exoplanets overview is linked to recommended action number 1. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets overview is linked to recommended action number 1, and the passage also mentions a follow-up action.",The key point is that exoplanets overview is linked to recommended action number 1.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
51,Business,product,feature prioritization,What is the correct answer regarding feature prioritization?,The document explains that feature prioritization is linked to deadline number 15. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the product use case.,"The key point is that feature prioritization is linked to deadline number 15, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that feature prioritization is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
52,Sports,match analysis,possession,"According to the provided context, what is the key point about possession?",The evidence shows that possession is linked to increase number 9. A required step is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession is linked to increase number 9, and the passage also mentions a required step.","The key point is that possession is linked to increase number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article
53,Science,physics,force and motion guidance,What does the document say about force and motion guidance?,The passage states that force and motion guidance is linked to decrease number 13. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion guidance is linked to decrease number 13, and the passage also mentions a exception clause.","The key point is that force and motion guidance is linked to decrease number 13, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket
54,Finance,risk,emergency fund,What is the correct answer regarding emergency fund?,The source says that emergency fund is linked to increase number 2. A required step is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund is linked to increase number 2, and the passage also mentions a required step.",The key point is that emergency fund is linked to increase number 2.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
55,Sports,training,recovery,Which detail is supported by the context for recovery?,The document explains that recovery is linked to guideline number 14. A required step is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery is linked to guideline number 14, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket
56,Environment,water,contamination,Summarize the main fact about contamination from the passage.,The document explains that contamination is linked to decrease number 15. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination is linked to decrease number 15, and the passage also mentions a priority order.","The key point is that contamination is not linked to decrease number 15; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
57,Finance,investment,index funds policy,Summarize the main fact about index funds policy from the passage.,The context indicates that index funds policy is linked to guideline number 12. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the investment use case.,"The key point is that index funds policy is linked to guideline number 12, and the passage also mentions a exception clause.",The key point is that index funds policy is linked to guideline number 12.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
58,Finance,tax,capital gains workflow,What is the correct answer regarding capital gains workflow?,The context indicates that capital gains workflow is linked to threshold number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains workflow is linked to threshold number 2, and the passage also mentions a weekly review.","The key point is that capital gains workflow is linked to threshold number 2, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
59,Education,study plan,final revision overview,"According to the provided context, what is the key point about final revision overview?",The context indicates that final revision overview is linked to threshold number 16. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision overview is linked to threshold number 16, and the passage also mentions a best practice.","The key point is that final revision overview is linked to threshold number 16, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
60,History,culture,trade routes,Which detail is supported by the context for trade routes?,The document explains that trade routes is linked to procedure number 13. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to procedure number 13, and the passage also mentions a exception clause.","Since trade routes mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
61,Science,astronomy,exoplanets overview,What does the document say about exoplanets overview?,The source says that exoplanets overview is linked to guideline number 17. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets overview is linked to guideline number 17, and the passage also mentions a follow-up action.","The key point is that exoplanets overview is linked to guideline number 17, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
62,Business,marketing,customer retention,"According to the provided context, what is the key point about customer retention?",The passage states that customer retention is linked to causal factor number 11. A time window is also mentioned in the same passage. The document keeps the explanation focused on the marketing use case.,"The key point is that customer retention is linked to causal factor number 11, and the passage also mentions a time window.","The key point is that customer retention is linked to causal factor number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
63,Travel,planning,itinerary workflow,What is the correct answer regarding itinerary workflow?,The source says that itinerary workflow is linked to causal factor number 9. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary workflow is linked to causal factor number 9, and the passage also mentions a follow-up action.","The key point is that itinerary workflow is linked to causal factor number 9, and the passage also mentions a follow-up action.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
64,Technology,software design,API rate limiting,"According to the provided context, what is the key point about API rate limiting?",The document explains that API rate limiting is linked to comparison number 4. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the software design use case.,"The key point is that API rate limiting is linked to comparison number 4, and the passage also mentions a estimated cost.","The key point is that API rate limiting is linked to comparison number 4, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
65,Business,HR,employee onboarding benchmark,Summarize the main fact about employee onboarding benchmark from the passage.,The document explains that employee onboarding benchmark is linked to recommended action number 9. A time window is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding benchmark is linked to recommended action number 9, and the passage also mentions a time window.","Since employee onboarding benchmark mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
66,History,period,renaissance guidance,"According to the provided context, what is the key point about renaissance guidance?",The document explains that renaissance guidance is linked to warning sign number 15. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the period use case.,"The key point is that renaissance guidance is linked to warning sign number 15, and the passage also mentions a priority order.",The key point is that renaissance guidance is linked to warning sign number 15.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
67,History,event,industrial revolution workflow,Summarize the main fact about industrial revolution workflow from the passage.,The evidence shows that industrial revolution workflow is linked to threshold number 16. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the event use case.,"The key point is that industrial revolution workflow is linked to threshold number 16, and the passage also mentions a exception clause.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
