id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label
11,Environment,climate,carbon emissions,Which detail is supported by the context for carbon emissions?,The source says that carbon emissions is linked to warning sign number 12. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.","The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that carbon emissions is linked to warning sign number 12, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9004154801368713, 'neutral': 0.0985383465886116, 'contradiction': 0.0010461922502145171}}]",SUPPORTED
12,Legal,privacy,data retention benchmark,"According to the provided context, what is the key point about data retention benchmark?",The source says that data retention benchmark is linked to guideline number 11. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention benchmark is linked to guideline number 11, and the passage also mentions a estimated cost.","The key point is that data retention benchmark is linked to guideline number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that data retention benchmark is linked to guideline number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9278081059455872, 'contradiction': 0.07165423035621643, 'entailment': 0.0005376299377530813}}]",UNSUPPORTED
13,History,leader,mauryan empire,Which detail is supported by the context for mauryan empire?,The evidence shows that mauryan empire is linked to threshold number 2. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the leader use case.,"The key point is that mauryan empire is linked to threshold number 2, and the passage also mentions a best practice.","The key point is that mauryan empire is linked to threshold number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that mauryan empire is linked to threshold number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9359973669052124, 'contradiction': 0.0632374957203865, 'entailment': 0.0007650494226254523}}]",UNSUPPORTED
14,Science,astronomy,exoplanets policy,"According to the provided context, what is the key point about exoplanets policy?",The context indicates that exoplanets policy is linked to procedure number 10. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets policy is linked to procedure number 10, and the passage also mentions a verification step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
15,Education,study plan,final revision,Summarize the main fact about final revision from the passage.,The evidence shows that final revision is linked to deadline number 1. A time window is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to deadline number 1, and the passage also mentions a time window.",The answer concerns an unrelated topic and says that final revision is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that final revision is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993133544921875, 'neutral': 0.0005571116926148534, 'entailment': 0.00012954429257661104}}]",CONTRADICTED
16,History,culture,trade routes policy,Summarize the main fact about trade routes policy from the passage.,The evidence shows that trade routes policy is linked to threshold number 9. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes policy is linked to threshold number 9, and the passage also mentions a weekly review.","The key point is that trade routes policy is linked to threshold number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that trade routes policy is linked to threshold number 9, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7058916687965393, 'neutral': 0.2825861871242523, 'contradiction': 0.011522137559950352}}]",SUPPORTED
17,Finance,credit,credit score guidance,Summarize the main fact about credit score guidance from the passage.,The source says that credit score guidance is linked to deadline number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score guidance is linked to deadline number 8, and the passage also mentions a time window.","The key point is that credit score guidance is linked to deadline number 8, and the passage also mentions a time window.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that credit score guidance is linked to deadline number 8, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7516146898269653, 'neutral': 0.2453976571559906, 'contradiction': 0.0029876315966248512}}]",SUPPORTED
18,Science,chemistry,reaction rate,What is the correct answer regarding reaction rate?,The passage states that reaction rate is linked to increase number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate is linked to increase number 10, and the passage also mentions a weekly review.",The key point is that reaction rate is linked to increase number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that reaction rate is linked to increase number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7888510823249817, 'entailment': 0.2006264626979828, 'contradiction': 0.010522453114390373}}]",UNSUPPORTED
19,History,movement,civil rights workflow,Summarize the main fact about civil rights workflow from the passage.,The passage states that civil rights workflow is linked to causal factor number 16. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the movement use case.,"The key point is that civil rights workflow is linked to causal factor number 16, and the passage also mentions a weekly review.","The key point is that civil rights workflow is linked to causal factor number 16, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that civil rights workflow is linked to causal factor number 16, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6839809417724609, 'entailment': 0.30510932207107544, 'contradiction': 0.010909677483141422}}]",UNSUPPORTED
20,Education,study plan,final revision,What does the document say about final revision?,The source says that final revision is linked to warning sign number 9. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to warning sign number 9, and the passage also mentions a priority order.","The key point is that final revision is linked to warning sign number 9, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that final revision is linked to warning sign number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8861875534057617, 'contradiction': 0.1132776141166687, 'entailment': 0.0005348679842427373}}]",UNSUPPORTED
21,Travel,safety,emergency contacts overview,What is the correct answer regarding emergency contacts overview?,The context indicates that emergency contacts overview is linked to causal factor number 8. A required step is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts overview is linked to causal factor number 8, and the passage also mentions a required step.","The key point is that emergency contacts overview is linked to causal factor number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that emergency contacts overview is linked to causal factor number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5978714227676392, 'entailment': 0.38717302680015564, 'contradiction': 0.01495556253939867}}]",UNSUPPORTED
22,Technology,networking,latency,What is the correct answer regarding latency?,The passage states that latency is linked to increase number 5. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to increase number 5, and the passage also mentions a best practice.","The key point is that latency is not linked to increase number 5; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that latency is not linked to increase number 5; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9978116154670715, 'neutral': 0.001433132216334343, 'entailment': 0.0007553308387286961}}]",CONTRADICTED
23,Food,meal planning,portion control benchmark,"According to the provided context, what is the key point about portion control benchmark?",The context indicates that portion control benchmark is linked to comparison number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control benchmark is linked to comparison number 17, and the passage also mentions a weekly review.",The answer concerns an unrelated topic and says that portion control benchmark is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket,"[{'claim': 'The answer concerns an unrelated topic and says that portion control benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9986334443092346, 'neutral': 0.0011119268601760268, 'entailment': 0.0002546017349231988}}]",CONTRADICTED
24,Travel,transport,rail schedules,Which detail is supported by the context for rail schedules?,The passage states that rail schedules is linked to causal factor number 9. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules is linked to causal factor number 9, and the passage also mentions a best practice.","The key point is that rail schedules is linked to causal factor number 9, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that rail schedules is linked to causal factor number 9, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8698199391365051, 'neutral': 0.1278412640094757, 'contradiction': 0.002338776597753167}}]",SUPPORTED
25,Education,course selection,statistics guidance,What is the correct answer regarding statistics guidance?,The source says that statistics guidance is linked to comparison number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics guidance is linked to comparison number 2, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that statistics guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note,"[{'claim': 'The answer concerns an unrelated topic and says that statistics guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992000460624695, 'neutral': 0.000638247758615762, 'entailment': 0.0001617484085727483}}]",CONTRADICTED
26,Legal,contract clause,termination overview,What does the document say about termination overview?,The context indicates that termination overview is linked to threshold number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination overview is linked to threshold number 2, and the passage also mentions a exception clause.","The key point is that termination overview is linked to threshold number 2, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that termination overview is linked to threshold number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8511009812355042, 'contradiction': 0.14763513207435608, 'entailment': 0.0012638680636882782}}]",UNSUPPORTED
27,Environment,air quality,particulate matter workflow,Summarize the main fact about particulate matter workflow from the passage.,The source says that particulate matter workflow is linked to recommended action number 16. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the air quality use case.,"The key point is that particulate matter workflow is linked to recommended action number 16, and the passage also mentions a weekly review.","The key point is that particulate matter workflow is linked to recommended action number 16, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that particulate matter workflow is linked to recommended action number 16, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7775607109069824, 'neutral': 0.2201327085494995, 'contradiction': 0.002306589623913169}}]",SUPPORTED
28,Environment,waste,recycling guidance,Summarize the main fact about recycling guidance from the passage.,The evidence shows that recycling guidance is linked to deadline number 4. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling guidance is linked to deadline number 4, and the passage also mentions a estimated cost.","The key point is that recycling guidance is linked to deadline number 4, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that recycling guidance is linked to deadline number 4, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8955742716789246, 'neutral': 0.10354293882846832, 'contradiction': 0.000882734137121588}}]",SUPPORTED
29,Business,operations,inventory turnover,Summarize the main fact about inventory turnover from the passage.,The evidence shows that inventory turnover is linked to causal factor number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover is linked to causal factor number 10, and the passage also mentions a time window.","The key point is that inventory turnover is not linked to causal factor number 10; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that inventory turnover is not linked to causal factor number 10; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996626377105713, 'neutral': 0.00017511491023469716, 'entailment': 0.0001623569114599377}}]",CONTRADICTED
30,Science,astronomy,exoplanets,Summarize the main fact about exoplanets from the passage.,The passage states that exoplanets is linked to warning sign number 1. A required step is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets is linked to warning sign number 1, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
31,Education,learning strategy,note taking workflow,What is the correct answer regarding note taking workflow?,The evidence shows that note taking workflow is linked to warning sign number 14. A time window is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking workflow is linked to warning sign number 14, and the passage also mentions a time window.",The key point is that note taking workflow is linked to warning sign number 14.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that note taking workflow is linked to warning sign number 14.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6197661757469177, 'entailment': 0.3597482144832611, 'contradiction': 0.02048562653362751}}]",UNSUPPORTED
32,Education,exam prep,linear algebra workflow,What is the correct answer regarding linear algebra workflow?,The evidence shows that linear algebra workflow is linked to decrease number 6. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra workflow is linked to decrease number 6, and the passage also mentions a verification step.","The key point is that linear algebra workflow is linked to decrease number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that linear algebra workflow is linked to decrease number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.977912187576294, 'contradiction': 0.021638937294483185, 'entailment': 0.00044879698543809354}}]",UNSUPPORTED
33,Business,strategy,market positioning,What is the correct answer regarding market positioning?,The document explains that market positioning is linked to procedure number 10. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to procedure number 10, and the passage also mentions a best practice.","Since market positioning mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket,"[{'claim': 'Since market positioning mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9502956867218018, 'contradiction': 0.04163707047700882, 'entailment': 0.008067134767770767}}]",UNSUPPORTED
34,Finance,tax,capital gains,"According to the provided context, what is the key point about capital gains?",The context indicates that capital gains is linked to comparison number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to comparison number 2, and the passage also mentions a exception clause.","Since capital gains mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since capital gains mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.899412989616394, 'contradiction': 0.08583273738622665, 'entailment': 0.01475431676954031}}]",UNSUPPORTED
35,Food,diet,fiber workflow,"According to the provided context, what is the key point about fiber workflow?",The passage states that fiber workflow is linked to procedure number 14. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber workflow is linked to procedure number 14, and the passage also mentions a risk factor.","The key point is that fiber workflow is linked to procedure number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that fiber workflow is linked to procedure number 14, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6928135752677917, 'neutral': 0.3048342168331146, 'entailment': 0.002352230018004775}}]",CONTRADICTED
36,Food,food safety,storage temperature,"According to the provided context, what is the key point about storage temperature?",The evidence shows that storage temperature is linked to threshold number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the food safety use case.,"The key point is that storage temperature is linked to threshold number 12, and the passage also mentions a best practice.","The key point is that storage temperature is linked to threshold number 12, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that storage temperature is linked to threshold number 12, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7968330383300781, 'neutral': 0.19960744678974152, 'contradiction': 0.0035595339722931385}}]",SUPPORTED
37,Environment,wildlife,habitat loss overview,Which detail is supported by the context for habitat loss overview?,The document explains that habitat loss overview is linked to recommended action number 10. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss overview is linked to recommended action number 10, and the passage also mentions a priority order.","The key point is that habitat loss overview is not linked to recommended action number 10; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that habitat loss overview is not linked to recommended action number 10; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994540810585022, 'neutral': 0.00028191498131491244, 'entailment': 0.0002640500315465033}}]",CONTRADICTED
38,Travel,booking,cancellation policy,What does the document say about cancellation policy?,The document explains that cancellation policy is linked to threshold number 13. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the booking use case.,"The key point is that cancellation policy is linked to threshold number 13, and the passage also mentions a priority order.","The key point is that cancellation policy is not linked to threshold number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that cancellation policy is not linked to threshold number 13; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994688630104065, 'neutral': 0.00028295183437876403, 'entailment': 0.0002481617557350546}}]",CONTRADICTED
39,History,conflict,world war II policy,Summarize the main fact about world war II policy from the passage.,The context indicates that world war II policy is linked to causal factor number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II policy is linked to causal factor number 15, and the passage also mentions a risk factor.","The key point is that world war II policy is linked to causal factor number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that world war II policy is linked to causal factor number 15, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8867570161819458, 'contradiction': 0.11175205558538437, 'entailment': 0.0014908912125974894}}]",UNSUPPORTED
40,Technology,machine learning,overfitting,Which detail is supported by the context for overfitting?,The source says that overfitting is linked to deadline number 4. A required step is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to deadline number 4, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
41,Science,environmental science,water quality overview,"According to the provided context, what is the key point about water quality overview?",The evidence shows that water quality overview is linked to deadline number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the environmental science use case.,"The key point is that water quality overview is linked to deadline number 10, and the passage also mentions a weekly review.","The key point is that water quality overview is linked to deadline number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that water quality overview is linked to deadline number 10, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5220394134521484, 'neutral': 0.4532201588153839, 'contradiction': 0.024740424007177353}}]",SUPPORTED
42,Education,study plan,final revision policy,Which detail is supported by the context for final revision policy?,The source says that final revision policy is linked to threshold number 1. A required step is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision policy is linked to threshold number 1, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
